nama pengguna,komentar
cepihhidayat6994,"Konsepnya bagus mengembangkan para murid berpotensi lebih mempunyai nilai plus untuk meneruskan cita citanya menjadi murid yang bermanfaat untuknya dan kesuksesan untuknya.yang perlu dirubah itu jumlah dalam kelas tersebut apakah dengan program kurikulum merdeka dapat merangkul banyaknya jumlah murid dikelas? Apakah guru tersebut mampu secara maximal? Secara logika menerapkan kurikulum merdeka dengan jumlah murid banyak menurut saya hanya 40 sampai 60© dengan kinerja guru yang super super padat dan berat.point terakhir dengan adanya kurikulum merdeka tugas guru sangat berat menurut saya, apalagi gaji guru yang pasca sarjana kecil dengan tidak diimbangi gaji yang baik sesuai kurikulum merdeka sama saja tidak ada win win solution untuk program ini.dan tidak ada peningkatan gaji guru yang baik membuat para guru stres akibat adanya kurikulum merdeka ini.kesimpulan tolong diperhatikan pemerintah gaji para guru yang pasca sarjana untuk mendapatkan gajinyang sesuai dan tunjangan yang layak untuk mereka.karena mereka disamping telah mengeluarkan uang kuliah besar serta pekerjaannya bermanfaat untuk para generasi penerus bangsa ini.toling diperhatikan mereka wahai presiden dan DPR."
NoorJannah-se6xn,Saya setuju dgn kurikulum merdeka. Meski guru dituntut harus bisa memberikan konsep belajar yg menarik dan kreatif tpi ini lebih mudh untuk memberikan pendekatan terhadap peserta didik karna kurikulum merdeka cara belajar yg sbenarnya dibutuhkan peserta didik. Namun kembali lg pda gurunya
susiwati-ty9su,Kurikulum merdeka yang diterapkan pada saat ini sangat membantu peserta didik dalam mennyesaikan masalah
Abu596.,Tidak sesusi denga khasanah Infonesia.
abcdefghijklmnopqrstuvwxyz4649,"Penjelasannya sangat bagus. Saya izin pake soundnya ya kak untuk keperluan tugas, nanti sumber juga akan saya sertakan di credit deskripsi. Terimakasih 🙏"
suparnasuparna7930,Sangat menarik sekali
tasrajutkerajinanjogja8242,Kurikulum merdeka relevan diterapkan dengan pendekatan berpusat pada peserta didik
mictvmanusiaindonesiacerda9549,"Kurikulum merdeka pantas untuk di pertahankan, karena sangat membantu guru dalam melaksanakan proses pembelajaran"
hariswalukow8255,https://www.youtube.com/watch?v=PphBLIh_jgU
atnayusufsupri5814,Gurunya gajinya gk seberapa kurikulum ganti ganti terus kacau Indonesia ku.
sudarmandunisudarman6396,Ganti saja kurikulum ini
ugikwidagdo8298,Konsep bukanlah hal yang biasa.Konsep adalah sesuatu pemikiran . Memiliki pemikiran yang luas dan teratur / sistematis adalah pikiran yang bergerak merdeka ( tanpa menemui pelanggaran/ hambatan)
3A...yuhu...,Pak mengapa di buku kementerian kurikulum merdeka...terlalu banyak gambar dan penjelasan nya bertele2...orgtua pusing mau menjelaskan.. apalagi anak2...hrsnya pembahasan nya simple saja...
